face	顔	grade2	467	彦[lad] 立[stand up] 亠[kettle lid radical (no. 8)] 厂[trailing cliff radical (no. 27)] 彡[short hair or fur radical (no. 59)] 頁[page] 貝[shellfish] 目[eye] 八[eight]	"<img src=""09854.svg"">"
north	北	grade2	339	匕[spoon]	"<img src=""05317.svg"">"
mama	母	grade2	554	毋[mother radical (no. 80)]	"<img src=""06bcd.svg"">"
angle	角	grade2	667	𠂊[knife (radical, variant)]	"<img src=""089d2.svg"">"
horse	馬	grade2	481	灬[fire radical (no. 86)]	"<img src=""099ac.svg"">"
bird	鳥	grade2	805	灬[fire radical (no. 86)]	"<img src=""09ce5.svg"">"
chirp	鳴	grade2	1147	口[mouth] 鳥[bird] 灬[fire radical (no. 86)]	"<img src=""09cf4.svg"">"
teach	教	grade2	165	孝[filial piety] 耂[variant of radical 125] 土[soil] 子[child] 了[complete] ㇇[horizontal + left-falling] 亅[barb radical (no. 6)] 一[one] 攵[folding chair radical variant (no. 66)] 乂[mow] 丿[katakana no radical (no. 4)]	"<img src=""06559.svg"">"
plains	野	grade2	216	里[ri] 日[day] 予[beforehand] 了[complete] ㇇[horizontal + left-falling] 亅[barb radical (no. 6)]	"<img src=""091ce.svg"">"
genius	才	grade2	1154	扌[hand radical (no. 64)] 亅[barb radical (no. 6)]	"<img src=""0624d.svg"">"
winter	冬	grade2	923	夂[winter radical (no. 34)] 冫[two-stroke water radical (no. 15)]	"<img src=""051ac.svg"">"
park	園	grade2	427	囗[box radical (no. 31)] 袁[long kimono] 土[soil] 衣[garment] 亠[kettle lid radical (no. 8)] 𧘇[scarf (radical)] 口[mouth]	"<img src=""05712.svg"">"
distant	遠	grade2	652	袁[long kimono] 土[soil] 衣[garment] 亠[kettle lid radical (no. 8)] 𧘇[scarf (radical)] 口[mouth] ⻌[road (radical)]	"<img src=""09060.svg"">"
going	行	grade2	13	彳[going man radical (no. 60)] 亻[radical number 9]	"<img src=""0884c.svg"">"
hit	当	grade2	64	⺌[small (primitive)] ⺕[snout]	"<img src=""05f53.svg"">"
barley	麦	grade2	1231	龶[blue prefix] 夂[winter radical (no. 34)]	"<img src=""09ea6.svg"">"
eat	食	grade2	93	𠆢[top "person" radical] 艮[good radical (no. 138)]	"<img src=""098df.svg"">"
