埼	土奇大人可丁一口亅
壌	土㐮六亠八三二一𧘇
繊	糸幺小土戈弋业丿丶
勢	埶土儿丿㇟丸九乙丶力
熱	埶土儿丿㇟丸九乙丶灬
堪	土甚甘廿十匹匚儿丿㇟八
夕	
多	夕
外	夕卜
名	夕口
夜	亠亻夕
液	氵夜亠亻夕
拶	扌巛夕
死	歹一夕匕
葬	艹死歹一夕匕廾十丿
列	歹一夕刂
例	亻列歹一夕刂
烈	列歹一夕刂灬
夢	艹罒冖夕
舞	丿一舛夕
宛	宀冖夗夕卩㔾
残	歹一夕戋三二戈弋丿丶
工	
左	工
佐	亻左工
功	工力
巧	工丂
江	氵工
式	弋工丶
拭	扌式弋工丶
試	言口式弋工丶
攻	工攵乂丿
紅	糸幺小工
空	穴宀冖八工
控	扌空穴宀冖八工
虹	虫中口丨工
弓	
引	弓丨
弔	弓丨
弟	八弔弓丨丿
弱	弓冫
溺	氵弱弓冫
弥	弓尓丿小
弧	弓瓜丿厶
沸	氵弗弓丿丨
強	弓厶虫中口丨
湾	氵弯亦亠丿亅弓
士	
声	士
仕	亻士
吉	士口
喜	吉士口
周	冂吉士口
週	周冂吉士口⻌
彫	周冂吉士口彡
調	言口周冂吉士
舎	人吉士口
捨	扌舎人吉士口
詰	言口吉士
結	糸幺小吉士口
鼓	吉士豆一口䒑支十又
壮	⺦士
荘	艹壮⺦士
壱	士冖匕
任	亻壬丿士
妊	女壬丿士
廷	壬丿士廴
庭	广厂廷壬丿士廴
売	士冖儿丿㇟
読	言口売士冖儿丿㇟
続	糸幺小売士冖儿丿㇟
淫	氵⺤壬丿士
殻	壳士冖几丿殳又
款	士示二一小欠人
隷	士示二一小隶⺕氺
己	
妃	女己
包	勹丿己
抱	扌包勹丿己
泡	氵包勹丿己
飽	飠包勹丿己
砲	石口包勹丿己
色	𠂊巴己
絶	糸幺小色𠂊巴己
把	扌巴己
記	言口己
改	己攵乂丿
紀	糸幺小己
起	走土龰己
遷	覀大人己⻌
巻	𠔉二一大人己
圏	囗巻𠔉二一人己
港	氵巷共龷八己
選	巽己共龷八⻌
配	酉西一囗儿丿㇟己
寸	
付	亻寸
附	⻖付亻寸
府	广厂付亻寸
腐	府广厂付亻寸肉冂人
寺	土寸
侍	亻寺土寸
持	扌寺土寸
待	彳亻寺土寸
詩	言口寺土寸
団	囗寸
耐	而寸
守	宀冖寸
狩	⺨守宀冖寸
封	圭土寸
討	言口寸
将	⺦⺤寸
奨	将⺦⺤寸大人
辱	辰厂寸
尋	⺕工口寸
爵	⺤罒艮寸
寿	三二一丿寸
奪	大人隹亻寸
尉	尸丿示二一小寸
冠	冖元二一儿丿㇟寸
酎	酉西一囗儿丿㇟寸
尊	酋八酉西一囗儿丿㇟寸
遵	尊酋八酉西一囗儿丿㇟寸⻌
巾	
布	巾
怖	忄布巾
希	乂丿布巾
市	亠巾
姉	女市亠巾
帝	亠冖巾
諦	言口帝亠冖巾
締	糸幺小帝亠冖巾
帥	丿巾丨
師	丿丨巾
飾	飠𠂉巾
刷	尸丿巾刂
帰	刂帚⺕冖巾
席	广厂廿十巾
婦	女帚⺕冖巾
掃	扌帚⺕冖巾
常	尚⺌冂吊口巾
逓	乕厂丿二一巾⻌
幣	敝小冂攵乂丿巾
帯	丗卅廾廿十川丿冖巾
滞	氵帯丗卅廾廿十川丿冖巾
日	
白	日
百	一白日
宿	宀冖佰亻百白日
縮	糸幺小宿宀冖佰亻百白日
伯	亻白日
泊	氵白日
迫	白日⻌
拍	扌白日
的	白日勺勹丿丶
綿	糸幺小帛白日巾
貌	豸皃白日儿丿㇟八
車	日
軍	冖車日
運	軍冖車日⻌
揮	扌軍冖車日
輝	光⺌兀一儿丿㇟軍冖車日
連	車日⻌
陣	⻖車日
軌	車日九乙
庫	广厂車日
軒	車日干十
軟	車日欠人
軽	車日圣又土
転	車日云二一厶
轄	車日害宀冖龶口
載	𢦏土十戈弋車日丿丶
輪	車日侖人一冊冂廾十丿
里	日
厘	厂里日
埋	土里日
黒	里日灬
墨	黒里日灬土
黙	黒里日犬大人丶灬
重	千丿十里
動	重千丿十里力
働	亻動重千丿十里力
勲	動重千丿十里力灬
薫	艹重千丿十里灬
晶	日
申	日丨
伸	亻申日丨
神	礻申日丨
捜	扌叟申日丨又
紳	糸幺小申日丨
痩	疒叟申日丨又
由	日丨
黄	龷由八
油	氵由日丨
届	尸由日丨
抽	扌由日丨
専	由日丨寸
袖	衤由日丨
軸	車日由丨
宙	宀冖由日丨
演	氵寅宀冖由日丨八
旧	丨日
陥	⻖𠂊旧丨日
児	旧丨日儿丿㇟
甲	日丨
押	扌甲日丨
岬	山甲日丨
単	⺍丶甲日十一丨
弾	弓単⺍甲日一丨
禅	礻単⺍甲日一丨
戦	単⺍甲日一丨戈弋丿丶
旦	日一
但	亻旦日一
担	扌旦日一
量	旦日一里
昼	尺尸八旦日一
垣	土亘二一旦日
恒	忄亘二一旦日
得	彳亻旦日一寸
宣	宀冖亘二一旦日
場	土昜旦日一勿勹
湯	氵昜旦日一勿勹
陽	⻖昜旦日一勿勹
揚	扌昜旦日一勿勹
瘍	疒昜旦日一勿勹
傷	亻𠂉昜旦日一勿勹
壇	土亶亠回囗口旦日一
早	日十
卓	卜早日十
悼	忄卓卜早日十
草	艹早日十
幹	𠦝十早日人干
韓	𠦝十早日韋口
乾	𠦝十早日乞𠂉乙
旨	匕日
指	扌旨匕日
詣	言口旨匕日
曲	日廾丨
曹	曲日廾丿十
遭	曹曲日廾丿十⻌
典	曲日廾丿十八
農	曲日廾丿十辰厂
濃	氵農曲日廾丿十辰厂
豊	曲日廾丿十豆一口䒑
艶	豊曲日廾十丿豆一口䒑色𠂊巴己
旬	勹丿日
殉	歹一夕旬勹丿日
者	耂土日
暑	日者耂土
都	者耂土日⻏
著	艹者耂土日
煮	者耂土日灬
署	罒者耂土日
諸	言口者耂土日
緒	糸幺小者耂土日
易	日勿勹
昨	日乍丿
唱	口昌日
亀	𠂊电日
湿	氵日业
暇	日叚又
隙	⻖小日
更	一日乂丿
便	亻更日乂丿
硬	石口更日乂丿
映	日央大人
昭	日召刀口
照	昭日召刀口灬
時	日寺土寸
書	聿⺕丨日
宴	宀冖日女
替	夫大人日
潜	氵替夫大人日
昔	龷日廾十丿
借	亻昔龷日廾十丿
措	扌昔龷日廾十丿
惜	忄昔龷日廾十丿
昇	日升丿廾十
是	日疋龰卜人
提	扌是日疋龰卜人
堤	土是日疋龰卜人
挿	扌千丿十日
冥	冖日六亠八
景	日京亠口小
影	景日京亠口小彡
憬	忄景日京亠口小
普	並八一业日
譜	言口普並一业日
暖	日爰⺤友又
暮	莫艹日大人
僚	亻大人日小
複	衤复𠂉日夂
慢	忄曼日罒又
漫	氵曼日罒又
縄	糸幺小电日
俺	亻奄大人电日
募	莫艹日大人力
復	彳亻复𠂉日夂
履	尸復彳亻复𠂉日夂
覆	覀復彳亻复𠂉日夂
墓	莫艹日大人土
幕	莫艹日大人巾
漠	氵莫艹日大人
慕	莫艹日大人⺗
暴	日㳟共龷八氺
爆	火人暴日㳟共龷八氺
療	疒尞大人日小
春	𡗗三二一大人日
寮	宀冖尞大人日小
暁	日尭卉十廾丿兀一儿㇟
手	
挙	⺍八手
拳	二一人手
掌	尚⺌冂口手
撃	車日殳几丿又手
摯	執幸土𢆉䒑干十丸九乙丶手
月	
有	月
随	陏⻖有月⻌
堕	陏⻖有月土
骨	月
滑	氵骨月
髄	骨月有⻌
骸	骨月亥亠人
且	月一
助	且月一力
狙	⺨且月一
阻	⻖且月一
祖	礻且月一
宜	宀冖且月一
組	糸幺小且月一
肖	⺌月
削	肖⺌月刂
消	氵肖⺌月
宵	宀冖肖⺌月
硝	石口肖⺌月
肘	月寸
青	龶月
清	氵青龶月
情	忄青龶月
晴	日青龶月
請	言口青龶月
明	日月
豚	月豕
肌	月几丿
肝	月干十
育	亠厶月
撤	扌育亠厶月攵乂丿
徹	彳亻育亠厶月攵乂丿
服	月卩又
肥	月巴己
前	八月刂
煎	前八月刂灬
能	厶月匕
熊	能厶月匕灬
罷	罒能厶月匕
脇	月劦力
脅	劦力月
崩	山朋月
肢	月支十又
肺	月市亠巾
胆	月旦日一
胎	月台厶口
脊	人二一月
朕	月天大人
謄	朕月二一大人言口
脈	月𠂢丿亻
脂	月旨匕日
散	月攵乂丿
惰	忄左工月
腰	月要覀女
股	月殳几丿又
胞	月包勹丿己
胴	月同冂一口
祭	月示二一小
際	⻖祭月示二一小
察	宀冖祭月示二一小
擦	扌察宀冖祭月示二一小
朝	𠦝十早日月
潮	氵朝𠦝十早日月
嘲	口朝𠦝十早日月
腹	月复𠂉日夂
脚	月却去土厶卩
勝	月劵二一人力
然	月犬大人丶灬
燃	火人然月犬大丶灬
期	其甘廿十八月
湖	氵胡古十口月
愉	忄兪入一月刂
喩	口兪入一月刂
婿	女胥疋卜人月
絹	糸幺小肙口月
腫	月重千丿十里
膜	月莫艹日大人
覇	覀䩗革廿十月
腸	月昜旦日一勿勹
塑	朔屰屮凵丿月土
遡	朔屰屮凵丿月辶
輸	車日兪入一月刂
諭	言口兪入一月刂
脱	月兌八兄口儿丿㇟
腕	月宛宀冖夗夕卩㔾
藤	艹滕月劵二一人氺
膨	月彭吉士豆一口䒑彡
水	
氷	水丶
永	丶水
泳	氵永丶水
詠	言口永丶水
尿	尸水
泉	白日水
原	厂泉白日小
源	氵原厂泉白日小
腺	月泉白日水
線	糸幺小泉白日水
踏	足口沓水日
木	
米	木
来	米木丿
迷	米木⻌
謎	言口迷米木辶
楼	木娄米女
粉	米木分八刀
粘	米木占卜口
菊	艹勹丿米木
粗	米木且月一
粛	聿⺕丨米木
継	糸幺小米木
精	米木青龶月
粋	米木卆九乙十
奥	丿冂米木大人
粧	米木庄广厂土
隣	⻖粦米木舛夕
釈	釆丿米木尺尸八
数	娄米木女攵乂丿
糖	米木唐广厂⺕口
糧	米木量旦日一里
林	木
森	木林
麻	广厂林木
摩	麻广厂林木手
磨	麻广厂林木石口
暦	厂林木日
禁	林木示二一小
襟	衤禁林木示二一小
礎	石口楚林木疋卜人
本	木丨
体	亻本木
札	木乙
未	木丿
朱	丿未木
株	木朱未
殊	歹一夕朱未木
妹	女未木
味	口未木
昧	日未木
耕	耒丿未木井二一廾十
末	木丿
抹	扌末木
休	亻木
朴	木卜
朽	木丂
村	木寸
条	夂木
困	囗木
杉	木彡
采	⺤木
菜	艹采⺤木
採	扌采⺤木
彩	采⺤木彡
根	木艮
桑	又木
机	木几丿
束	木口丿
勅	束木口力
速	束木口⻌
疎	疋卜人束木口
床	广厂木
東	木日丿
棟	木東日
凍	冫東木日
陳	⻖東木日
練	糸幺小東木日
果	日木丨
菓	艹果日木
裸	衤果日木
巣	⺍丶果日木
彙	彑冖果日木
課	言口果日木
茶	艹人木
栄	⺍冖木
桜	木⺍女
集	隹亻木
棚	木朋月
椎	木隹亻
膝	月木氺
利	禾丿木刂
梨	利禾丿木刂
痢	疒利禾丿木刂
私	禾丿木厶
秀	禾丿木乃
透	秀禾丿木乃⻌
誘	言口秀禾丿木乃
和	禾丿木口
板	木反厂又
委	禾丿木女
萎	艹委禾丿木女
松	木公八厶
述	朮木丶⻌
枝	木支十又
枚	木攵乂丿
刺	朿木冂刂
刹	乂丿木刂
乗	千丿十木
剰	乗千丿十木刂
香	禾丿木日
栃	木厂万一
保	亻呆口木
査	木且月一
染	氵九乙木
某	甘廿十木
媒	女某甘廿十木
謀	言口某甘廿十木
柳	木卯丿卩
架	加力口木
枯	木古十口
柿	木市亠巾
格	木各夂口
核	木亥亠人
楽	白日冫木
薬	艹楽白日冫木
慄	忄栗覀木
漆	氵桼木氺
権	木𠂉隹亻
杯	木不一丿丨
枠	木卆九乙十
